package,source_slug,document_status,review_item,legal_topic,article_or_section,reviewer,status,notes,reviewed_at
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Conferma versione Moudawana (Loi 70-03 2004) ancora vigente,versioning,Livre III preamble,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Vocazione ereditaria — definizione,vocation_successorale,322-323,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Cause di esclusione (hajb totale) musulmano vs non-musulmano,exclusion,327-332,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Eredi fard quote fisse (coniuge padre madre figli fratelli),fard_quotes,337+,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Eredi asaba (residuari linea agnatica),asaba,343+,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Eredi misti (fard + asaba),mixed_heirs,vario,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,awl - reduction proportionnelle quando quote fard > 1,awl,358,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,radd - restitution du residu (eccezione coniuge),radd,359,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Assenza erede fard/asaba (Bayt al-mal/Stato),no_heir,360+,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Dette e charges successorie (ordine: funerarie debiti legato eredi),debts_charges,322 326,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Testamento (wasiyya) limite 1/3 e divieto a favore di erede,testament,277+ Livre VI,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Eredità enfants nes hors mariage / filiation,filiation,vario,,pending,,
F-maghreb-legal-review-packages,ma-code-famille-moudawana-fr-pdf,downloaded_pdf,Eredità mista (cittadini stranieri) coordinamento DIP,foreign_heirs,332 + reg 650,,pending,,
F-maghreb-legal-review-packages,ma-code-droits-reels-loi-39-08,downloaded_pdf,Tipologie proprieta foncier (melk habous public/famille),property_types,vario,,pending,,
F-maghreb-legal-review-packages,ma-code-droits-reels-loi-39-08,downloaded_pdf,Indivision (chouyou) e prelation tra coeredi,indivision,vario,,pending,,
F-maghreb-legal-review-packages,ma-code-droits-reels-loi-39-08,downloaded_pdf,Trasferimento successorio (atti notorieta certificat heredite),transfer,vario,,pending,,
F-maghreb-legal-review-packages,ma-code-droits-reels-traduction-aute,downloaded_pdf,Decisione: tenere come strumento di lavoro o degradare a deprecated (reliability medium),source_quality,N/A,,pending,Traduzione non ufficiale - mai usare da sola come autoritativa,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-ma,manual_required,Recupero PDF/HTML EUR-Lex (download manuale),retrieval,N/A,,pending,EUR-Lex HTTP 202 con body vuoto per richieste non-browser,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-ma,manual_required,Versione consolidata vs originale,versioning,N/A,,pending,,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-ma,manual_required,Decisione policy renvoi (art. 34) e ordine pubblico (art. 35) per casi MA,dip_policy,art. 34-35,,pending,Posizione documentata richiesta,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-ma,manual_required,Articoli chiave: 21 residenza abituale 22 professio juris 23 ambito 31 adattamento,dip_articles,21-23 31,,pending,,
