package,source_slug,document_status,review_item,legal_topic,article_or_section,reviewer,status,notes,reviewed_at
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,HTML jurisitetunisie.com - confronto con CSP compiled (manuale),source_quality,Livre IX,,pending,Fonte non ufficiale - validare contro JORT/IORT,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Vocazione ereditaria — definizione,vocation_successorale,85-87,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Cause di esclusione musulmano vs non-musulmano + giurisprudenza attenuativa TN,exclusion,88-90,,pending,Particolarita TN: giurisprudenza ha attenuato esclusioni rispetto al fiqh classico,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Eredi fard quote fisse (coniuge padre madre figli fratelli),fard_quotes,91+,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Eredi asaba (residuari linea agnatica),asaba,100+,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Eredi misti (fard + asaba),mixed_heirs,vario,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,awl - reduction proportionnelle,awl,vario,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,radd - confronto TN vs MA su trattamento coniuge,radd,vario,,pending,Differenza chiave da documentare,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Eredi figli nati fuori matrimonio (Loi 98-75) - particolarita TN,filiation_extra_marital,Loi 98-75,,pending,Specificita tunisina rispetto al Marocco,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Successione tra cittadini stranieri / non musulmani,foreign_heirs,CSP + Loi 98-97,,pending,Coordinamento con DIP,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Testamento wasiyya - limite 1/3 e divieto a favore di erede,testament,vario,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Dette e charges successorie - ordine,debts_charges,vario,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-livre-ix-succession,downloaded_html,Liquidazione indivision (chouyou) - prelation tra coeredi,indivision,CSP + Code obligations,,pending,,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Definizione legge applicabile alla successione,dip_applicable_law,49+,,pending,Default legge nazionale defunto al decesso,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Forma del testamento (lex loci o legge scelta),dip_testament_form,50,,pending,,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Trasmissione successoria immobili (lex situs casi specifici),dip_immobili,51,,pending,,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Ordine pubblico tunisino - limite a leggi straniere,dip_ordre_public,27,,pending,,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Qualification / adattamento categorie giuridiche straniere,dip_qualification,36,,pending,,
F-maghreb-legal-review-packages,tn-code-dip-loi-98-97,downloaded_html,Coordinamento Loi 98-97 (foro TN) vs reg. 650/2012 (foro UE),dip_coordination,N/A,,pending,Posizione documentata richiesta su renvoi e doppia regola di conflitto,
F-maghreb-legal-review-packages,tn-jort-code-statut-personnel-1956,manual_required,Recupero PDF JORT 1956 (download manuale da pist.tn o iort.gov.tn),retrieval,N/A,,pending,pist.tn non raggiungibile dal datacenter,
F-maghreb-legal-review-packages,tn-jort-code-statut-personnel-1956,manual_required,Tracciamento modifiche post-1956 (Loi 81-7 93-74 98-75 ecc.),versioning,N/A,,pending,,
F-maghreb-legal-review-packages,tn-code-statut-personnel-compiled,manual_required,Recupero PDF consolidato (download manuale da legislation.tn o iort.gov.tn),retrieval,N/A,,pending,jafbase.fr SSL hostname mismatch,
F-maghreb-legal-review-packages,tn-code-statut-personnel-compiled,manual_required,Validazione completezza vs HTML Livre IX,coverage_check,N/A,,pending,,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-tn,manual_required,Recupero PDF/HTML EUR-Lex (download manuale),retrieval,N/A,,pending,EUR-Lex HTTP 202 per richieste non-browser,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-tn,manual_required,Decisione policy renvoi (art. 34) e ordine pubblico (art. 35) per casi TN,dip_policy,art. 34-35,,pending,Posizione documentata richiesta,
F-maghreb-legal-review-packages,eu-regulation-650-2012-successions-fr-tn,manual_required,Articoli chiave: 21 residenza abituale 22 professio juris 23 ambito 31 adattamento,dip_articles,21-23 31,,pending,,
